family,entry,haplotype,gh_stake,tube,DPA,FW,DW,GW,GL
7-956-2-19-1,7-956-2-19-1-44,W7984,2,17,22,0.7409,0.4049,4.796,8.4868
7-956-2-19-1,7-956-2-19-1-44,W7984,2,18,22,0.6929,0.3785,4.6195,8.0299
7-956-2-19-1,7-956-2-19-1-44,W7984,2,19,22,0.7124,0.4022,4.6026,8.3443
7-956-2-19-1,7-956-2-19-1-44,W7984,2,20,22,0.7369,0.4038,4.7565,8.45
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,21,22,0.8505,0.4581,5.0313,8.5839
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,22,22,0.8243,0.4556,4.9036,8.2803
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,23,22,0.8004,0.4284,4.9052,8.2193
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,24,22,0.861,0.4643,4.9394,8.5161
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,25,22,0.8828,0.4641,4.9857,8.7329
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,26,22,0.8512,0.4455,4.9491,8.4708
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,27,22,0.7942,0.4356,4.7645,8.2397
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,28,22,0.8726,0.4567,4.8941,8.5953
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,29,22,0.8564,0.4611,5.0127,8.4933
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,30,22,0.8361,0.4543,4.851,8.5584
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,31,22,0.7774,0.4266,4.7738,8.5317
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,32,22,0.7819,0.4088,4.7954,8.5101
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,33,22,0.7559,0.4044,4.705,8.5485
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,34,22,0.8109,0.4311,4.837,8.7199
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,35,22,0.7813,0.4255,4.7108,8.2357
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,36,22,0.7735,0.4297,4.8109,8.4366
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,37,22,0.7769,0.4129,4.7769,8.4804
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,38,22,0.7423,0.4154,4.612,8.3137
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,39,22,0.7015,0.3911,4.6206,8.2156
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,40,22,0.7139,0.3913,4.5661,8.4263
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,1,28,0.5355,0.4624,4.0397,8.0921
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,2,28,0.5157,0.4618,3.9694,7.7524
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,3,28,0.6916,0.4931,4.358,8.292
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,4,28,0.4912,0.4505,4.0596,8.036
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,5,28,0.5489,0.4737,4.4434,8.3356
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,6,28,0.532,0.4879,4.1357,7.9944
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,7,28,0.544,0.4756,4.1111,8.2213
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,8,28,0.5375,0.4715,4.2941,7.8368
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,9,28,0.5682,0.4633,4.1991,7.9047
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,10,28,0.565,0.4612,4.251,8.1181
7-956-2-19-1,7-956-2-19-1-44,W7984,2,11,28,0.3982,0.3669,3.5383,7.0733
7-956-2-19-1,7-956-2-19-1-44,W7984,2,12,28,0.4031,0.3688,3.6274,7.773
7-956-2-19-1,7-956-2-19-1-44,W7984,2,13,28,0.4346,0.3962,3.8717,7.6095
7-956-2-19-1,7-956-2-19-1-44,W7984,2,14,28,0.4112,0.3784,3.6916,7.5887
7-956-2-19-1,7-956-2-19-1-44,W7984,2,15,28,0.4224,0.3877,3.6399,7.7302
7-956-2-19-1,7-956-2-19-1-44,W7984,2,16,28,0.4134,0.3829,3.6011,7.2943
7-956-2-19-1,7-956-2-19-1-44,W7984,2,17,28,0.4456,0.3993,3.5829,7.6041
7-956-2-19-1,7-956-2-19-1-44,W7984,2,18,28,0.4559,0.4073,3.4927,7.8924
7-956-2-19-1,7-956-2-19-1-44,W7984,2,19,28,0.4146,0.3859,3.6428,7.5729
7-956-2-19-1,7-956-2-19-1-44,W7984,2,20,28,0.4639,0.4194,3.6474,7.6192
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,21,28,0.6019,0.4771,4.2597,7.9795
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,22,28,0.7799,0.5247,4.692,8.4995
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,23,28,0.6036,0.494,4.1576,8.3123
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,24,28,0.6091,0.4491,4.2026,7.9534
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,25,28,0.5552,0.4269,3.979,7.6462
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,26,28,0.7168,0.4873,4.4873,8.5735
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,27,28,0.6729,0.4898,4.3297,8.2813
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,28,28,0.5088,0.4424,3.8574,7.8647
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,29,28,0.6414,0.4801,4.5209,8.4056
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,30,28,0.7312,0.4869,4.4367,8.2655
