Entry,chr5AS_status,KASP_341510829,BLUP_TGW,BLUP_GL,BLUP_GW,BLUP_SPS,BLUP_HD,BLUP_GFD,BLUP_HT
7-1201-4-29-1-07,absent,W7984,31.32642717,6.603408369,3.08060719,13.36224982,173.9106426,30.66870117,68.70428599
7-1201-4-29-1-10,absent,W7984,30.33519602,6.534081449,3.048627861,13.48955037,174.8716689,31.62588719,68.6114124
7-1201-4-29-1-15,absent,W7984,30.02945269,6.595340634,3.059246566,13.55011016,176.4109195,33.17161474,66.50439053
7-1201-4-29-1-16,absent,W7984,31.00745736,6.491969136,3.080189481,13.66192614,173.9106426,30.67172976,68.27415113
7-1201-4-29-1-23,absent,W7984,30.08844073,6.534619324,3.039962025,13.373919,175.7784519,32.54184263,66.56355077
7-1201-4-29-1-27,absent,W7984,31.18248844,6.49733867,3.099772673,13.29414156,173.9106426,30.67021547,68.48921856
7-1201-4-29-1-28,absent,W7984,30.54629915,6.632812377,3.04372592,13.3716612,175.8326952,32.59973046,66.15279706
7-1201-4-29-1-32,absent,W7984,31.49587582,6.590528827,3.082474596,13.46113064,174.6314123,31.3979479,67.02162506
7-1201-4-29-1-33,absent,W7984,32.30789463,6.579471746,3.107709149,13.19625159,178.9560308,35.72042795,64.45301958
7-1201-4-43-1-14,absent,W7984,31.9496505,6.51124564,3.119835003,13.59214603,170.787307,27.61311839,61.15616394
7-1201-4-47-2-19,absent,W7984,31.13960354,6.55180458,3.026415557,13.2812009,171.2678202,28.03113958,69.71242439
7-1201-4-50-1-08,present,Opata,37.62992396,6.747064806,3.33273158,13.24974733,173.1898728,29.93339726,71.24721665
7-1201-4-50-1-19,absent,W7984,31.48744947,6.655244553,3.048333008,13.13303459,174.3911557,31.13972271,69.73318635
7-1201-4-78-1-01,present,Opata,37.07340019,6.606906517,3.347953397,13.23445383,170.0665373,26.83087132,70.36618496
7-1201-4-78-2-02,present,Opata,36.369843,6.700598156,3.381873845,14.01980391,169.105511,25.85248516,73.47000259
7-1201-4-78-2-05,present,Opata,36.81964654,6.556929488,3.383458683,13.60106199,169.8262807,26.57416041,72.86267882
7-1201-4-78-2-10,present,Opata,35.25458353,6.588681903,3.333382715,14.00853511,169.5860241,26.32956388,73.63863323
7-1201-4-78-2-15,present,Opata,37.01806019,6.707129662,3.37232796,13.62595245,169.3457676,26.09859599,72.47898075
7-1201-4-78-2-25,present,Opata,35.74681112,6.636567382,3.34204404,13.90662044,171.0275636,27.79714311,68.98290678
7-1201-4-78-2-33,present,Opata,37.67543262,6.661421352,3.427797292,14.21285988,169.5860241,26.30987803,76.43450983
7-1201-4-81-1-09,present,Opata,38.32727294,6.816685277,3.430659829,13.54471797,172.2288465,28.95046822,74.99623657
7-1201-4-81-1-19,present,Opata,38.84440087,6.857195292,3.424492475,13.42212311,172.2288465,28.97469694,71.55515768
7-1201-4-81-1-21,present,Opata,39.73841699,7.110651969,3.429664698,12.96369266,173.1898728,29.9545974,68.23627261
7-1201-4-81-1-28,present,Opata,38.11729915,6.749645607,3.425241894,13.74483248,174.1508992,30.87695462,73.08994993
7-1201-4-81-1-31,present,Opata,38.45036741,6.895968464,3.417121135,13.16331173,172.2288465,28.98075413,70.69488795
7-1201-4-81-1-39,present,Opata,38.42718905,6.710370952,3.436962324,13.26875567,171.5080768,28.28482189,67.6460654
7-1201-4-81-1-42,present,Opata,38.71307591,6.97610784,3.436593757,14.23706934,171.7483334,28.45976084,76.76321282
7-1201-4-81-1-43,present,Opata,38.58784156,6.907661572,3.428952135,13.72179944,172.2288465,28.95046822,74.99623657
7-956-2-12-1-16,present,Opata,38.11080581,6.60243876,3.332358129,12.99270816,173.4022281,30.10241331,77.26526101
7-956-2-12-1-18,absent,W7984,27.56907133,6.086376403,2.940878561,13.77669626,177.7268465,34.45063638,71.04050919
7-956-2-12-1-22-06,absent,Opata,34.8752503,6.368732522,3.222270849,13.64752409,175.144713,31.7701484,87.04821284
7-956-2-12-1-22-08,present,Opata,35.88943337,6.435233722,3.247173131,13.8825553,176.5007196,33.15209672,82.40094131
7-956-2-12-1-22-11,present,Opata,36.94668478,6.615377582,3.267666969,13.63079459,176.5007196,33.13255827,85.23294784
7-956-2-12-1-22-12,present,Opata,37.10963704,6.563823674,3.252577666,13.81165905,176.6944348,33.30904541,87.60334461
7-956-2-12-1-22-14,present,Opata,36.38877567,6.610083312,3.249762268,14.00473506,177.0060768,33.66536072,80.68066507
7-956-2-12-1-35-08,absent,W7984,32.68754997,6.515095157,3.127164602,13.72357164,172.4412018,29.143713,77.57320204
7-956-2-12-1-48-12,present,W7984,35.82432832,6.463931694,3.306816437,12.9997667,174.8437676,31.56847825,72.82460199
7-956-2-12-1-53-06,absent,Opata,33.87940078,6.390350276,3.206966338,13.93401169,178.438896,35.09845037,79.03714039
7-956-2-12-1-53-09,present,Opata,38.57678628,6.756271625,3.33454496,12.81476014,181.5709518,38.16580831,86.79907214
7-956-2-12-1-69-02,present,Opata,38.39986711,6.663741957,3.374165911,13.74307541,173.6424847,30.38789583,70.68248596
7-956-2-12-1-69-03,present,Opata,36.64319872,6.398617279,3.342906379,13.34350409,178.8253022,35.56424026,68.18860428
7-956-2-12-1-69-04,present,Opata,39.39323484,6.580055509,3.42576529,13.59961479,177.7268465,34.42186477,75.12679038
7-956-2-12-1-69-07,present,Opata,40.19885864,6.704643373,3.439709407,13.74542825,174.1229978,30.85134589,72.78672347
7-956-2-12-1-69-10,present,Opata,39.39830111,6.593403785,3.421203099,13.30873698,174.5635673,31.30785041,70.20200007
7-956-2-12-1-69-12,present,Opata,38.87295307,6.5884017,3.369583873,13.70790315,177.4692957,34.20305153,69.82686888
7-956-2-12-1-69-14,present,Opata,39.48851102,6.648023805,3.432465834,13.87013066,174.1761369,30.89015502,74.84222815
7-956-2-19-1-12-01,present,Opata,36.63703036,6.682786067,3.394326526,13.93681236,171.4801754,28.23044154,71.42912013
7-956-2-19-1-12-04,present,Opata,35.88496204,6.647327574,3.344803408,13.7709997,170.9996623,27.75790571,70.6152872
7-956-2-19-1-12-06,present,Opata,34.82971235,6.619366857,3.331878992,13.89712383,171.720432,28.48866674,68.71755884
7-956-2-19-1-12-11,present,Opata,36.33387793,6.640044054,3.377434256,13.47096449,171.2704085,28.03525196,69.37634587
7-956-2-19-1-13-04,present,Opata,36.28105456,6.543104798,3.396046505,13.67447172,170.7594057,27.53602361,68.16523014
7-956-2-19-1-13-05,present,Opata,38.82910359,6.670016606,3.481185479,13.54128905,168.5970965,25.37251214,69.77213403
7-956-2-19-1-13-06,present,Opata,36.72968373,6.727528106,3.359742657,13.75081494,172.4412018,29.12402716,80.36907864
7-956-2-19-1-13-09,present,Opata,36.475883,6.59101474,3.406083812,13.93445952,170.9996623,27.76850578,69.10981518
7-956-2-19-1-13-10,present,Opata,36.81836125,6.547997312,3.418185095,13.76864685,170.5191491,27.30959861,66.36037538
7-956-2-19-1-13-15,present,Opata,37.40984593,6.635059595,3.420236785,13.614103,169.5581228,26.35695548,65.80804668
