,entry,BLUP_TGW,BLUP_GL,BLUP_GW,BLUP_SPS,BLUP_HD,BLUP_GFD,BLUP_HT
71,7-956-2-19-1-12-04,33.29101701,6.59949264,3.217934225,13.62883572,171.1073019,27.86198293,68.94810779
72,7-956-2-19-1-12-06,32.32035443,6.571626533,3.206509363,13.80350892,171.8274661,28.5821471,67.40283456
73,7-956-2-19-1-12-11,33.67511755,6.591979383,3.246665596,13.31096354,171.3769195,28.13160048,67.81509168
74,7-956-2-19-1-13-04,33.65535939,6.495622518,3.26323185,13.51238693,170.8672472,27.6219282,66.29906796
75,7-956-2-19-1-13-05,35.99916092,6.622104902,3.338492589,13.25037713,168.7067547,25.4614357,66.7405746
76,7-956-2-19-1-13-06,34.06802717,6.679421803,3.23114015,13.68706012,172.5476303,29.30231127,79.76502042
77,7-956-2-19-1-13-09,33.8345707,6.543370349,3.272104581,13.80350892,171.1073019,27.86198293,67.40283456
78,7-956-2-19-1-13-10,34.14959644,6.500498477,3.282801815,13.59972352,170.6271925,27.38187348,64.31228809
79,7-956-2-19-1-13-15,34.69366866,6.587266173,3.284615457,13.38138203,169.6669736,26.42165459,63.2085215
80,7-956-2-19-1-18-16,33.50374657,6.591440353,3.243980012,13.85734413,172.1512554,28.90593639,67.09175695
81,7-956-2-19-1-31-03,35.13405393,6.595154759,3.274315518,13.41261574,170.9897515,27.74443253,67.81509168
82,7-956-2-19-1-31-05,33.7101117,6.488272009,3.257725762,13.45416253,171.1073019,27.86198293,67.18208124
83,7-956-2-19-1-33-01,32.85617553,6.489808699,3.217436444,13.47614837,171.1833355,27.93801651,64.56008538
84,7-956-2-19-1-33-09,34.32164285,6.578757624,3.259789187,13.46871863,170.8672472,27.6219282,66.51982128
85,7-956-2-19-1-33-11,35.30676258,6.546649432,3.296366124,13.20670883,171.1073019,27.86198293,65.41605469
86,7-956-2-19-1-33-14,33.15384046,6.616424409,3.192206564,13.55605523,170.8672472,27.6219282,68.06509451
87,7-956-2-19-1-44,34.0014345,6.409772513,3.275418622,13.34881089,172.049121,28.80380198,65.8014756
88,7-956-2-19-1-47-01,34.06908525,6.540005937,3.269465568,13.25037713,169.6669736,26.42165459,64.09153477
89,7-956-2-19-1-47-04,32.73630871,6.51572134,3.232318686,13.43802879,172.1512554,28.90593639,64.56008538
90,7-956-2-19-1-47-09,35.21182356,6.57439364,3.311765796,13.25037713,169.4269189,26.18159987,66.51982128
91,7-956-2-19-1-54,32.79293502,6.586656678,3.220388616,13.74528452,172.0675208,28.82220182,61.88400158
92,7-956-2-30-1-22-01,37.75886995,7.159787235,3.254786551,13.69791491,171.697144,28.45182503,69.43037384
93,7-956-2-30-1-22-02,36.77990972,7.155136027,3.245303467,13.27603039,172.049121,28.80380198,66.46373556
94,7-956-2-30-1-26-01,37.26444368,7.14885823,3.247855599,13.68360118,171.5690115,28.32369253,65.35996897
95,7-956-2-30-1-26-02,37.94902968,7.229360317,3.274625833,13.56715238,172.049121,28.80380198,64.47695569
