order,Group,Group_n,entry,TGW_BLUP,GW_BLUP,GL_BLUP,SPS_BLUP,HD_BLUP,HT_BLUP,GFD_BLUP,Phenotype_TGW,Phenotype_GW,CO
0.7,6,Group 6 (19),7-1201-10-72-1-30,32.03497755,3.130319042,6.525327567,13.23917874,170.6582098,70.14805783,27.40536264,W7984,W7984,474:476
0.7,6,Group 6 (19),7-1201-4-29-1-07,31.32642717,3.08060719,6.603408369,13.36224982,173.9106426,68.70428599,30.66870117,W7984,W7984,474:476
0.7,6,Group 6 (19),7-1201-4-29-1-10,30.33519602,3.048627861,6.534081449,13.48955037,174.8716689,68.6114124,31.62588719,W7984,W7984,474:476
0.7,6,Group 6 (19),7-1201-4-29-1-15,30.02945269,3.059246566,6.595340634,13.55011016,176.4109195,66.50439053,33.17161474,W7984,W7984,474:476
0.7,6,Group 6 (19),7-1201-4-29-1-16,31.00745736,3.080189481,6.491969136,13.66192614,173.9106426,68.27415113,30.67172976,W7984,W7984,474:476
0.7,6,Group 6 (19),7-1201-4-29-1-23,30.08844073,3.039962025,6.534619324,13.373919,175.7784519,66.56355077,32.54184263,W7984,W7984,474:476
0.7,6,Group 6 (19),7-1201-4-29-1-27,31.18248844,3.099772673,6.49733867,13.29414156,173.9106426,68.48921856,30.67021547,W7984,W7984,474:476
0.7,6,Group 6 (19),7-1201-4-29-1-28,30.54629915,3.04372592,6.632812377,13.3716612,175.8326952,66.15279706,32.59973046,W7984,W7984,474:476
0.7,6,Group 6 (19),7-1201-4-29-1-32,31.49587582,3.082474596,6.590528827,13.46113064,174.6314123,67.02162506,31.3979479,W7984,W7984,474:476
0.7,6,Group 6 (19),7-1201-4-29-1-33,32.30789463,3.107709149,6.579471746,13.19625159,178.9560308,64.45301958,35.72042795,W7984,W7984,474:476
0.8,7,Group 7 (4),7-956-2-50-1-05-04,29.78877791,2.995598473,6.447627391,13.37176155,172.9217149,69.78433772,29.67682064,W7984,W7984,455:463
0.8,7,Group 7 (4),7-956-2-50-1-05-05,30.04597002,3.001878256,6.548817418,13.64398189,172.2389847,70.78530568,28.98973567,W7984,W7984,455:463
0.8,7,Group 7 (4),7-956-2-50-1-05-08,30.31569325,3.013080834,6.509945786,13.8189232,172.4412018,71.1211791,29.18914186,W7984,W7984,455:463
0.8,7,Group 7 (4),7-956-2-12-1-48-12,35.82432832,3.306816437,6.463931694,12.9997667,174.8437676,72.82460199,31.56847825,W7984,W7984,455:463
0.9,8,Group 8 (12),7-956-2-50-1-61-06,29.49685399,3.012527984,6.42095096,13.63360676,170.7594057,68.38029757,27.53450931,W7984,W7984,423:436
0.9,8,Group 8 (12),7-956-2-50-1-61-09,30.80805881,3.072511977,6.526165539,13.59455605,169.7206868,75.19322879,26.45239343,W7984,W7984,423:436
0.9,8,Group 8 (12),7-956-2-46-1-04-01,28.19163751,2.971395908,6.364161106,12.89450832,170.038636,67.05201447,26.82646272,W7984,W7984,423:436
0.9,8,Group 8 (12),7-956-2-46-1-07-11,29.81420205,3.005230357,6.578428748,12.9478185,169.7983794,66.53756429,26.59095195,W7984,W7984,423:436
0.9,8,Group 8 (12),7-956-2-46-1-07-13,30.77771516,3.044556455,6.617079607,12.65705813,168.8373531,64.26469614,25.65042318,W7984,W7984,423:436
0.9,8,Group 8 (12),7-956-2-46-1-07-15,27.63530966,2.885544371,6.550198943,13.47602907,171.9606886,67.29640214,28.73780617,W7984,W7984,423:436
0.9,8,Group 8 (12),7-956-2-46-1-11-01,26.45789583,2.91796598,6.238558045,13.22966292,171.720432,66.56688453,28.50380969,W7984,W7984,423:436
0.9,8,Group 8 (12),7-956-2-46-1-24-02,29.27619519,2.993731067,6.448997295,13.04787576,170.7594057,63.64881409,27.56782381,W7984,W7984,423:436
